"Step","init_and_loss_eigen_with_4_to_4_uniform_distribution - forward loss","init_and_loss_eigen_with_4_to_4_uniform_distribution - forward loss__MIN","init_and_loss_eigen_with_4_to_4_uniform_distribution - forward loss__MAX","eigen_initialisation_and_maximal_eigen_loss-2 - forward loss","eigen_initialisation_and_maximal_eigen_loss-2 - forward loss__MIN","eigen_initialisation_and_maximal_eigen_loss-2 - forward loss__MAX","experiment_dynamicKAE_e - forward loss","experiment_dynamicKAE_e - forward loss__MIN","experiment_dynamicKAE_e - forward loss__MAX","Maximal eigen-loss without eigen-initialisation - forward loss","Maximal eigen-loss without eigen-initialisation - forward loss__MIN","Maximal eigen-loss without eigen-initialisation - forward loss__MAX"
"82","0.20373912155628204","0.20373912155628204","0.20373912155628204","","","","","","","0.1725236028432846","0.1725236028432846","0.1725236028432846"
"83","0.18665426969528198","0.18665426969528198","0.18665426969528198","","","","","","","0.17330658435821533","0.17330658435821533","0.17330658435821533"
"84","0.19782735407352448","0.19782735407352448","0.19782735407352448","","","","","","","0.17258663475513458","0.17258663475513458","0.17258663475513458"
"85","0.18425317108631134","0.18425317108631134","0.18425317108631134","","","","","","","0.1995568573474884","0.1995568573474884","0.1995568573474884"
"86","0.19677644968032837","0.19677644968032837","0.19677644968032837","","","","","","","0.1740325391292572","0.1740325391292572","0.1740325391292572"
"87","0.18719513714313507","0.18719513714313507","0.18719513714313507","","","","","","","0.18127021193504333","0.18127021193504333","0.18127021193504333"
"88","0.19357085227966309","0.19357085227966309","0.19357085227966309","","","","","","","0.16707642376422882","0.16707642376422882","0.16707642376422882"
"89","0.17952582240104675","0.17952582240104675","0.17952582240104675","","","","","","","0.17263849079608917","0.17263849079608917","0.17263849079608917"
"90","0.18374870717525482","0.18374870717525482","0.18374870717525482","","","","","","","0.18716858327388763","0.18716858327388763","0.18716858327388763"
"91","0.18496166169643402","0.18496166169643402","0.18496166169643402","","","","","","","0.17267370223999023","0.17267370223999023","0.17267370223999023"
"92","0.18752717971801758","0.18752717971801758","0.18752717971801758","","","","","","","0.18428710103034973","0.18428710103034973","0.18428710103034973"
"93","0.19463512301445007","0.19463512301445007","0.19463512301445007","","","","","","","0.18117927014827728","0.18117927014827728","0.18117927014827728"
"94","0.18927133083343506","0.18927133083343506","0.18927133083343506","","","","","","","0.3625039756298065","0.3625039756298065","0.3625039756298065"
"95","0.1978987157344818","0.1978987157344818","0.1978987157344818","","","","","","","0.1790418028831482","0.1790418028831482","0.1790418028831482"
"96","0.19438070058822632","0.19438070058822632","0.19438070058822632","","","","","","","0.17765820026397705","0.17765820026397705","0.17765820026397705"
"97","0.1953662633895874","0.1953662633895874","0.1953662633895874","","","","","","","0.17349417507648468","0.17349417507648468","0.17349417507648468"
"98","0.19102387130260468","0.19102387130260468","0.19102387130260468","","","","","","","0.17674027383327484","0.17674027383327484","0.17674027383327484"
"99","0.18501229584217072","0.18501229584217072","0.18501229584217072","","","","","","","0.7755478620529175","0.7755478620529175","0.7755478620529175"
